StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,id,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,auto_2,resp_software3_10,resp_human3_10,liab_soft3_1,liab_human3_1,liab_text3,co_2,resp_software4_10,resp_human4_10,liab_software4_1,liab_human4_1,liab_text4,comp_3,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,FL_12_DO,av_frame1_acc_DO,av_frame2_acc_DO,av_frame3_acc_DO,av_frame4_acc_DO
6/20/23 11:38,6/20/23 11:44,0,162.231.170.156,100,333,1,6/20/23 11:44,R_3n1rLKKEcGPGgCn,,,,,37.747,-97.3571,anonymous,EN,1,608078f433346dd7a841b511,2,2,2,4,,,,,,,,,,,,,6,0,100,1,100,Since it clearly states the level of automation the driver should be held responsible. ,,,,,,,1,3,2,,3,,38,3,,2,17,608078f433346dd7a841b511,FL_50,,,frame3_info3|frame3_info4|frame3_info5|resp_software3|liab_soft3|resp_human3|liab_human3|liab_text3,
6/20/23 11:42,6/20/23 11:46,0,73.12.2.192,100,227,1,6/20/23 11:46,R_339Wgr6pIzUIOB4,,,,,38.271,-77.5495,anonymous,EN,1,63d3f9c636f6260362e34391,2,2,2,4,,,,,,,5,0,100,0,100,The driver should be aware of what abilities the car does and does not have to keep the road safe.,,,,,,,,,,,,,3,2,2,,3,,25,3,,1,10,63d3f9c636f6260362e34391,FL_36,,frame2_info3|frame2_info4|frame2_info5|liab_human2|liab_firm2|resp_human2|resp_software2|liab_text2,,
6/20/23 11:42,6/20/23 11:46,0,172.59.232.190,100,245,1,6/20/23 11:46,R_3D7QRmw4skOazWO,,,,,29.3582,-98.429,anonymous,EN,1,631ff899c56260cb62016bca,2,2,2,4,,,,,,,,,,,,,6,13,90,7,95,It's level 2. Mostly human driving experience including all dynamic driving. Needs to pay attention to acceleration and deceleration ,,,,,,,1,3,1,,3,,46,7,,1,20,631ff899c56260cb62016bca,FL_50,,,frame3_info3|frame3_info4|frame3_info5|liab_soft3|liab_human3|resp_software3|resp_human3|liab_text3,
6/20/23 11:43,6/20/23 11:50,0,50.216.37.211,100,411,1,6/20/23 11:50,R_Zh23JgCWFE9pzVv,,,,,40.7038,-111.5437,anonymous,EN,1,60fd91ba186c1003454a6a7a,2,2,2,4,,,,,,,,,,,,,,,,,,,3,21,72,20,72,"If Aeon is a level 2 the driver is responsible for monitoring the driving environment, when he looked down at the text he wasn't monitoring the driving environment and that is why he crashed.  It's the drivers responsiblity to pay attention to what is happening around him. ",1,3,2,,3,,27,4,,1,67,60fd91ba186c1003454a6a7a,FL_54,,,,frame4_info3|frame4_info4|frame4_info5|resp_software4|liab_software4|liab_human4|resp_human4|liab_text4
6/20/23 11:48,6/20/23 11:51,0,24.46.32.116,100,152,1,6/20/23 11:51,R_1C18801viVJoL8b,,,,,40.6446,-73.9743,anonymous,EN,1,60ffd7c13a161e6394fc5964,2,2,2,1,4,73,71,67,74,Depending o what level the person was driving on the system should have recognized the stop sign ,,,,,,,,,,,,,,,,,,,3,3,2,,2,,20,3,,2,35,60ffd7c13a161e6394fc5964,FL_35,frame1_info3|frame1_info4|frame1_info5|liable_firm1|resp_software1|resp_human1|liable_human1|liab_text1,,,
6/20/23 11:47,6/20/23 11:54,0,152.117.93.16,100,407,1,6/20/23 11:54,R_O6T0mbQaiu2G7At,,,,,40.0428,-86.1275,anonymous,EN,1,6032f9d56de00f37d060a779,2,2,2,4,,,,,,,,,,,,,,,,,,,2,0,100,0,100,"I think the human is more liable, because in level two, the human is in control of reading all signs.",1,3,2,,3,,33,5,,1,25,6032f9d56de00f37d060a779,FL_54,,,,frame4_info3|frame4_info4|frame4_info5|liab_software4|resp_human4|liab_human4|resp_software4|liab_text4
6/20/23 11:52,6/20/23 11:58,0,73.193.112.187,100,386,1,6/20/23 11:58,R_3DwEGwgKUE1QhrT,,,,,47.3236,-122.3187,anonymous,EN,1,5f691df8cc431c0fb5c12739,2,2,1,4,4,51,92,72,81,I feel like the company is promising that the autopilot will be able to conduct the vehicle just like a human would which makes humans rely on the machine when it can fail at any moment. ,,,,,,,,,,,,,,,,,,,1,2,2,,4,,23,4,,1,41,5f691df8cc431c0fb5c12739,FL_35,frame1_info3|frame1_info4|frame1_info5|resp_human1|liable_human1|resp_software1|liable_firm1|liab_text1,,,
6/20/23 11:55,6/20/23 11:59,0,166.181.80.225,100,250,1,6/20/23 11:59,R_2Toq0nctaVn7ysd,,,,,41.6021,-93.6124,anonymous,EN,1,60014f23d29c002a41582ae5,2,2,2,1,,,,,,,5,8,100,6,100,Humand more liable for the incident becauze you shouldnt be focusing on anything else other thn the road when driving regardless.,,,,,,,,,,,,,1,2,2,,3,,20,1,,2,13,60014f23d29c002a41582ae5,FL_36,,frame2_info3|frame2_info4|frame2_info5|resp_human2|resp_software2|liab_human2|liab_firm2|liab_text2,,
6/20/23 11:55,6/20/23 12:00,0,107.194.38.161,100,296,1,6/20/23 12:00,R_1ouIon01bhiSuU6,,,,,35.7704,-78.6293,anonymous,EN,1,5a91877e777df200015fa0f5,2,2,2,4,,,,,,,,,,,,,4,71,71,55,70,"Ultimately, the driver should be more aware (and not check texts). Machines and people can b-th make mistakes, but if you are the driver, the ultimate responsibility is yours.",,,,,,,1,3,2,,3,,60,5,,1,61,5a91877e777df200015fa0f5,FL_50,,,frame3_info3|frame3_info4|frame3_info5|resp_software3|liab_soft3|resp_human3|liab_human3|liab_text3,
6/20/23 11:57,6/20/23 12:00,0,108.88.113.28,100,207,1,6/20/23 12:00,R_1mEqI6C4dCUtevv,,,,,33.5716,-101.8545,anonymous,EN,1,62866264394aea9d61adb089,2,2,2,4,,,,,,,,,,,,,5,0,100,0,100,"The human driver is more responsible in this situation because as a level 2 system, the human and the assistance system are designed to work together and not separately. If the human driver was paying attention, the accident would have not happened.",,,,,,,1,3,1,,3,,22,3,,1,100,62866264394aea9d61adb089,FL_50,,,frame3_info3|frame3_info4|frame3_info5|liab_human3|liab_soft3|resp_human3|resp_software3|liab_text3,
